,text
0,['introduction']
1,[]
2,"['discourse', 'arousing', 'mindfulness', 'satipatthana', 'sutta', 'majjhima', 'nikaya', 'digha', 'nikaya', 'excerpts', 'commentary', 'given', 'deal', 'method', 'training', 'insight', 'vipassana', 'according', 'buddhas', 'teaching']"
3,[]
4,"['insight', 'understanding', 'true', 'nature', 'things', 'complete', 'transfiguring', 'mental', 'life', 'takes', 'place', 'seer', 'lifted', 'groove', 'birth', 'death', 'understanding', 'nature', 'things', 'sure', 'knowledge', 'transience', 'subjection', 'sorrow', 'component', 'things', 'emptiness', 'things', 'regards', 'ens', 'self', 'essence', 'knowledge', 'essential', 'emptiness', 'things', 'called', 'realization', 'supreme', 'void', 'conception', 'self', 'craving', 'suffering', 'spring', 'conception', 'abandoned', 'marks', 'limit', 'spiritually', 'attainable', 'buddhas', 'dispensation', 'accomplished', 'emancipation', 'bondage', 'ignorance', 'attainment', 'highest', 'happiness', 'way', 'analytical', 'knowledge', 'patisambhida', 'magga', 'said', 'supreme', 'void', 'quieting', 'kammical', 'conformations', 'giving', 'clinging', 'rebirth', 'detachment', 'cessation', 'nibbana', 'supreme', 'void', 'way', 'arousing', 'mindfulness', 'satipatthana', 'magga', 'reaching', 'summum', 'bonum', 'buddhas']"
5,[]
6,"['mindfulness', 'said', 'nonsuperficiality', 'salient', 'characteristic', 'absence', 'confusion', 'function', 'state', 'turned', 'object', 'manifestation', 'called', 'nonnegligence', 'appamada', 'indicates', 'state', 'unremitting', 'alertness', 'yogavacara', 'proficient', 'spiritual', 'endeavor']"
7,[]
8,"['clear', 'strong', 'mindfulness', 'conjoined', 'wisdom', 'called', 'prudence', 'mindfulness', 'sati', 'nepakkam', 'pure', 'cognition', 'cognition', 'free', 'discrimination', 'proceeds', 'delusion', 'cognition', 'indicated', 'teaching', 'buddha', 'bahiya', 'daruciriya', 'says', 'seen', 'just', 'seen', 'heard', 'just', 'heard', 'contacted', 'just', 'contacted', 'apperceived', 'just', 'apperceived', 'free', 'lust', 'hatred', 'delusion', 'bondage', 'world']"
9,[]
